"","date","mean_salary_change"
"1",2009-09-30,0
"2",2009-10-31,-0.347350244573242
"3",2009-11-30,0.00283022987406805
"4",2009-12-31,-0.236760210173774
"5",2010-01-31,-0.0838608866103793
"6",2010-02-28,-0.207248969695219
"7",2010-03-31,0.163304740515479
"8",2010-04-30,-0.318821618242565
"9",2010-05-31,1.75349730955325
"10",2010-06-30,1.09875618668429
"11",2010-07-31,0.964131065684373
"12",2010-08-31,-1.69826628616159
"13",2010-09-30,0.912612064386563
"14",2010-10-31,0.712829888430736
"15",2010-11-30,0.985153918638578
"16",2010-12-31,0.913527800597716
"17",2011-01-31,0.920361423045717
"18",2011-02-28,0.786734396054107
"19",2011-03-31,0.982431068105055
"20",2011-04-30,0.6448805964687
"21",2011-05-31,1.10149355352221
"22",2011-06-30,1.07992666136048
"23",2011-07-31,1.0604248834194
"24",2011-08-31,-0.494957158504293
"25",2011-09-30,0.957791432286961
"26",2011-10-31,0.8914955740751
"27",2011-11-30,1.10338081612427
"28",2011-12-31,0.602267801968232
"29",2012-01-31,0.9811263744131
"30",2012-02-29,0.923025368008522
"31",2012-03-31,0.984257910812536
"32",2012-04-30,0.6929917222666
"33",2012-05-31,1.1309586865524
"34",2012-06-30,1.04628962883934
"35",2012-07-31,1.03649015558785
"36",2012-08-31,2.54136580619968
"37",2012-09-30,1.12795463482222
"38",2012-10-31,1.03687477755832
"39",2012-11-30,1.10201045501796
"40",2012-12-31,0.788337874630105
"41",2013-01-31,1.07565563029951
"42",2013-02-28,0.358106962932205
"43",2013-03-31,0.975537133783462
"44",2013-04-30,0.874597685162155
"45",2013-05-31,3.17152378497198
"46",2013-06-30,2.12418282867056
"47",2013-07-31,2.20881173044322
"48",2013-08-31,-0.296719551561608
"49",2013-09-30,2.12245499563707
"50",2013-10-31,2.0488832048624
"51",2013-11-30,2.05554383262401
"52",2013-12-31,1.79030055331674
"53",2014-01-31,1.99131266592709
"54",2014-02-28,1.46029411811942
"55",2014-03-31,1.9534234769129
"56",2014-04-30,1.95847304107045
"57",2014-05-31,2.12984553921096
"58",2014-06-30,2.12962766751669
"59",2014-07-31,2.11297252566739
"60",2014-08-31,-0.677594946446823
"61",2014-09-30,2.11644889480108
"62",2014-10-31,2.14530232535553
"63",2014-11-30,2.13235529815887
"64",2014-12-31,1.91333144342741
"65",2015-01-31,2.03918094418608
"66",2015-02-28,1.66356985697225
"67",2015-03-31,2.06179055258538
"68",2015-04-30,2.09871329082403
"69",2015-05-31,2.15599288170395
"70",2015-06-30,2.15804600394217
"71",2015-07-31,2.14197085946095
"72",2015-08-31,-0.25737033449169
"73",2015-09-30,2.04773714371054
"74",2015-10-31,2.05622822135652
"75",2015-11-30,2.3201424511917
"76",2015-12-31,2.17535896681999
"77",2016-01-31,2.1466389287273
"78",2016-02-29,1.19404074619728
"79",2016-03-31,1.31838739685759
"80",2016-04-30,0.607094388107349
"81",2016-05-31,2.01650700360893
"82",2016-06-30,2.88195813612328
"83",2016-07-31,3.33192350555146
"84",2016-08-31,2.10203040333843
"85",2016-09-30,3.45589617423445
"86",2016-10-31,3.44887396146138
"87",2016-11-30,3.65038183579956
"88",2016-12-31,5.41754551079169
"89",2017-01-31,6.32893032004817
"90",2017-02-28,6.81361541571672
"91",2017-03-31,7.01373203494621
"92",2017-04-30,6.91484454661873
"93",2017-05-31,9.54926434702665
"94",2017-06-30,8.42683041716388
"95",2017-07-31,8.38347113840015
"96",2017-08-31,9.91402759443185
"97",2017-09-30,11.9436487737031
"98",2017-10-31,12.217629064554
"99",2017-11-30,12.5441486863964
"100",2017-12-31,12.1238973843364
"101",2018-01-31,12.247022185464
"102",2018-02-28,11.6675554079054
"103",2018-03-31,12.6519519891261
"104",2018-04-30,12.5564553639064
"105",2018-05-31,12.7961099191279
"106",2018-06-30,12.7471390989069
"107",2018-07-31,12.6389457789285
"108",2018-08-31,14.5153524506592
"109",2018-09-30,13.4948805638095
"110",2018-10-31,15.6368171865528
"111",2018-11-30,15.6419598283227
"112",2018-12-31,15.3556144181749
"113",2019-01-31,15.4645624202871
"114",2019-02-28,14.9677644944632
"115",2019-03-31,15.6299519870492
"116",2019-04-30,15.529661115704
"117",2019-05-31,15.7380649208714
"118",2019-06-30,15.6645156443087
"119",2019-07-31,15.5197591636923
"120",2019-08-31,7.51619199952428
"121",2019-09-30,26.3757585895064
"122",2019-10-31,18.276830748275
"123",2019-11-30,18.2394199248618
"124",2019-12-31,17.9293139781898
"125",2020-01-31,18.1629025391043
"126",2020-02-29,17.5197574042281
"127",2020-03-31,18.2965422103016
"128",2020-04-30,20.0193341629964
"129",2020-05-31,20.4866267523222
"130",2020-06-30,20.4165511777059
"131",2020-07-31,19.9431042669692
"132",2020-08-31,14.3981147091162
"133",2020-09-30,24.0071314980132
"134",2020-10-31,21.0129334521482
"135",2020-11-30,21.3222833255567
"136",2020-12-31,21.0115673036616
"137",2021-01-31,21.2022849745832
"138",2021-02-28,20.8562541100272
"139",2021-03-31,21.2273639311389
"140",2021-04-30,22.8434214243154
"141",2021-05-31,23.2723781720201
"142",2021-06-30,23.2103889561131
"143",2021-07-31,23.1389069526718
"144",2021-08-31,18.6042343201512
"145",2021-09-30,27.8143147015694
"146",2021-10-31,24.3184249547295
"147",2021-11-30,24.7687149401081
"148",2021-12-31,24.7090530434459
