"","role","date","median_salary"
"1","fy1",2007-06-01,21100
"2","fy2",2007-06-01,29800
"3","reg",2007-06-01,39200
"4","con",2007-06-01,79050
"5","spec",2007-06-01,66200
"6","staff",2007-06-01,50400
"7","fy1",2007-09-01,21100
"8","fy2",2007-09-01,28000
"9","reg",2007-09-01,35600
"10","con",2007-09-01,79050
"11","spec",2007-09-01,66200
"12","staff",2007-09-01,50400
"13","fy1",2007-12-01,21400
"14","fy2",2007-12-01,26500
"15","reg",2007-12-01,35700
"16","con",2007-12-01,79050
"17","spec",2007-12-01,66200
"18","staff",2007-12-01,50700
"19","fy1",2008-03-01,21400
"20","fy2",2008-03-01,26500
"21","reg",2008-03-01,35700
"22","con",2008-03-01,79050
"23","spec",2008-03-01,66200
"24","staff",2008-03-01,51500
"25","fy1",2008-06-01,21900
"26","fy2",2008-06-01,27700
"27","reg",2008-06-01,36500
"28","con",2008-06-01,82600
"29","spec",2008-06-01,69100
"30","staff",2008-06-01,53200
"31","fy1",2008-09-01,21900
"32","fy2",2008-09-01,27100
"33","reg",2008-09-01,36500
"34","con",2008-09-01,83550
"35","spec",2008-09-01,70100
"36","staff",2008-09-01,54400
"37","fy1",2008-12-01,21900
"38","fy2",2008-12-01,27100
"39","reg",2008-12-01,36500
"40","con",2008-12-01,83550
"41","spec",2008-12-01,70100
"42","staff",2008-12-01,54400
